RtuNo,RegisterNo,RegisterTyp,Description,Name,TagName,LowerBound,UpperBound,DimensionText
3,1,5001,Measured Current,M19_I,RTU_BUS5_M19_I,-2000,2000,A
3,2,5002,Measured Voltage,M19_V,RTU_BUS5_M19_V,-15000,15000,V
3,3,5003,Measured Current,M24_I,RTU_BUS5_M24_I,-2000,2000,A
3,4,5004,Measured Voltage,M24_V,RTU_BUS5_M24_V,-15000,15000,V
3,5,5005,Measured Current,M25_I,RTU_BUS5_M25_I,-2000,2000,A
3,6,5006,Measured Voltage,M25_V,RTU_BUS5_M25_V,-15000,15000,V
3,7,5007,Measured Current,M36_I,RTU_BUS5_M36_I,-2000,2000,A
3,8,5008,Measured Voltage,M36_V,RTU_BUS5_M36_V,-15000,15000,V
3,300,5300,Switch State,SW19_STATE,RTU_BUS5_SW19_STATE,,,Closed/Open
3,301,5301,Switch State,SW24_STATE,RTU_BUS5_SW24_STATE,,,Closed/Open
3,302,5302,Switch State,SW25_STATE,RTU_BUS5_SW25_STATE,,,Closed/Open
3,303,5303,Switch State,SW36_STATE,RTU_BUS5_SW36_STATE,,,Closed/Open
3,200,5200,Set Point Current,M19_SP_I,RTU_BUS5_M19_SP_I,-2000,2000,A
3,201,5201,Set Point Voltage,M19_SP_V,RTU_BUS5_M19_SP_V,-15000,15000,V
3,202,5202,Set Point Current,M24_SP_I,RTU_BUS5_M24_SP_I,-2000,2000,A
3,203,5203,Set Point Voltage,M24_SP_V,RTU_BUS5_M24_SP_V,-15000,15000,V
3,204,5204,Set Point Current,M25_SP_I,RTU_BUS5_M25_SP_I,-2000,2000,A
3,205,5205,Set Point Voltage,M25_SP_V,RTU_BUS5_M25_SP_V,-15000,15000,V
3,206,5206,Set Point Current,M36_SP_I,RTU_BUS5_M36_SP_I,-2000,2000,A
3,207,5207,Set Point Voltage,M36_SP_V,RTU_BUS5_M36_SP_V,-15000,15000,V